Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,SHS,NCP,AIMIM,LKSGM,VBA,BSP,PJP,SWP,STBP,PWPI,RSPS,CPI(M),BVA,SP,MNS,KSP,JSS,Independent,Strong_Party
186,Sinnar,GEN,Nashik,,,94939,97011,,,,,,,,,,,,,,,,,
187,Nashik_East,GEN,Nashik,86304,,,74304,,,,,,,,,,,,,,,,,
188,Nashik_Central,GEN,Nashik,73460,45062,,,,,,,,,,,,,,,,,,,
189,Nashik_West,GEN,Nashik,78041,,,68295,,,,,,,,,,,,,,,,,
190,Deolali,SC,Nashik,,,42624,84326,,,,,,,,,,,,,,,,,NCP
191,Igatpuri,ST,Nashik,,86561,55006,,,,,,,,,,,,,,,,,,INC
192,Ausa,GEN,Osmanabad,95340,68626,,,,,,,,,,,,,,,,,,,BJP
193,Umarga,SC,Osmanabad,,61187,86773,,,,,,,,,,,,,,,,,,SHS
194,Tuljapur,GEN,Osmanabad,99034,75865,,,,,,,,,,,,,,,,,,,
195,Osmanabad,GEN,Osmanabad,,,87488,74021,,,,,,,,,,,,,,,,,
196,Paranda,GEN,Osmanabad,,,106674,73772,,,,,,,,,,,,,,,,,SHS
197,Barshi,GEN,Osmanabad,,,92406,,,,,,,,,,,,,,,,,95482,
198,Dahanu,ST,Palghar,67407,,,,,,,,,,,,,72114,,,,,,,
199,Vikramgad,ST,Palghar,67026,,,88425,,,,,,,,,,,,,,,,,
200,Palghar,ST,Palghar,,,68040,,,,,,,,,,,,,,,,,,SHS
201,Boisar,ST,Palghar,,,75951,,,,,,,,,,,,78703,,,,,,
202,Nalasopara,GEN,Palghar,,,106139,,,,,,,,,,,,149868,,,,,,BVA
203,Vasai,GEN,Palghar,,,76955,,,,,,,,,,,,102950,,,,,,BVA
204,Jintur,GEN,Parbhani,116913,,,113196,,,,,,,,,,,,,,,,,
205,Parbhani,GEN,Parbhani,,,104584,,,,,,,,,,,,,,,,,,SHS
206,Gangakhed,GEN,Parbhani,,,63111,,,,,,,,,,81169,,,,,,,52247,
207,Pathri,GEN,Parbhani,90851,105625,,,,,,,,,,,,,,,,,,,
208,Partur,GEN,Parbhani,106321,80379,,,,,,,,,,,,,,,,,,,BJP
209,Ghansawangi,GEN,Parbhani,,,104440,107849,,,,,,,,,,,,,,,,,
210,Vadgaon_Sheri,GEN,Pune,92725,,,97700,,,,,,,,,,,,,,,,,
211,Shivajinagar,GEN,Pune,58727,53603,,,,,,,,,,,,,,,,,,,
212,Kothrud,GEN,Pune,105246,,,,,,,,,,,,,,,,79751,,,,BJP
213,Parvati,GEN,Pune,97012,,,60245,,,,,,,,,,,,,,,,,BJP
